"","School.Name","Total.Enrollment","X..Female","X..Male","elem","mid","high","Grade.1","Grade.2","Grade.3","Grade.4","Grade.5","Grade.6","Grade.7","Grade.8","Grade.9","Grade.10","Grade.11","Grade.12","X..Asian","X..Black","X..Hispanic","X..Multiple.Race.Categories.Not.Represented","X..White","X..Poverty"
"150","150",3351,1659,1690,0,1,1,0,0,0,0,0,471,450,447,529,503,488,463,104,1217,1503,81,446,2290
"151","151",3148,2039,1107,0,0,1,0,0,0,0,0,0,0,0,836,816,753,743,280,2184,353,182,149,2221
"152","152",1428,609,819,0,0,1,0,0,0,0,0,0,0,0,443,349,324,312,20,1210,171,18,9,1265
"153","153",2086,1191,894,0,0,1,0,0,0,0,0,0,0,0,615,542,505,424,26,1505,498,38,19,1809
"154","154",1049,385,664,0,0,1,0,0,0,0,0,0,0,0,306,287,240,216,11,876,114,25,23,803
"155","155",1062,451,611,0,0,1,0,0,0,0,0,0,0,0,171,266,231,394,13,858,167,17,7,817
"156","156",3219,1589,1630,1,1,0,351,381,395,391,385,379,326,299,0,0,0,0,552,1965,545,72,85,2493
"157","157",1593,739,854,0,1,1,0,0,0,0,324,401,405,398,34,31,0,0,24,1294,130,130,15,1264
"158","158",365,365,0,0,0,1,0,0,0,0,0,0,0,0,198,111,56,0,3,282,70,5,5,289
"159","159",483,245,238,0,1,0,0,0,0,0,0,134,166,183,0,0,0,0,2,364,100,7,10,446
"160","160",3208,1608,1600,1,1,0,349,355,390,381,393,365,349,330,0,0,0,0,34,2576,544,36,18,2663
"161","161",887,412,475,0,0,1,0,0,0,0,0,0,0,0,361,220,214,92,11,632,217,10,17,800
"162","162",929,443,486,1,0,0,143,148,156,144,93,0,0,0,0,0,0,0,4,572,323,13,17,846
"163","163",3069,1230,1839,0,0,1,0,0,0,0,0,0,0,0,761,773,750,785,98,1998,844,67,62,2533
"164","164",1020,514,506,0,0,1,0,0,0,0,0,0,0,0,216,291,184,329,11,706,277,9,17,837
"165","165",4526,3368,1158,0,0,1,0,0,0,0,0,0,0,0,1363,1213,986,964,142,3019,997,208,160,3257
"166","166",1969,1022,947,0,0,1,0,0,0,0,0,0,0,0,597,487,445,440,31,1717,172,35,14,1728
"167","167",1774,829,945,0,0,1,0,0,0,0,0,0,0,0,438,475,450,411,484,356,713,2,219,1224
"168","168",1910,754,1156,0,0,1,0,0,0,0,0,0,0,0,646,513,401,350,211,552,1035,40,72,1640
"169","169",1975,853,1122,0,1,1,0,0,0,0,0,497,551,472,229,124,102,0,35,1488,348,60,44,1312
"170","170",1672,828,844,1,0,0,257,221,263,267,197,0,0,0,0,0,0,0,40,1225,370,16,21,1341
"171","171",3549,1610,1939,0,0,1,0,0,0,0,0,0,0,0,949,946,863,791,1755,490,434,388,482,2131
"172","172",2610,1434,1176,0,0,1,0,0,0,0,0,0,0,0,736,647,620,607,46,1209,1272,43,40,2196
"173","173",4137,1895,2242,1,1,1,112,134,84,0,0,440,537,535,627,561,517,481,311,563,1396,239,1628,1773
"174","174",113,49,64,0,1,0,0,0,0,0,0,113,0,0,0,0,0,0,4,17,38,4,50,62
"175","175",1979,940,1039,1,1,0,177,169,166,191,129,444,330,202,0,0,0,0,95,698,297,180,709,731
"176","176",89,45,44,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,10,5,68,0,6,65
"177","177",3474,1752,1722,1,1,0,393,390,401,395,392,378,387,349,0,0,0,0,226,2335,852,56,5,2891
"178","178",1534,1096,438,0,0,1,0,0,0,0,0,0,0,0,426,400,372,336,11,1217,273,10,23,1257
"179","179",2740,1391,1349,1,1,0,298,313,318,318,320,346,315,260,0,0,0,0,540,140,121,79,1860,662
"180","180",1301,503,798,0,1,0,0,0,0,0,0,503,460,338,0,0,0,0,10,1202,58,18,13,1004
"181","181",4640,2306,2334,0,1,1,0,0,0,0,0,514,500,493,1056,791,676,610,948,164,1367,62,2099,3577
"182","182",29031,11764,17266,0,0,1,0,0,0,0,0,0,0,0,7545,7401,7111,6974,17676,1858,2049,743,6705,17660
"183","183",1796,1019,777,0,0,1,0,0,0,0,0,0,0,0,485,496,423,392,19,1481,213,52,31,1467
"184","184",1440,700,740,0,1,0,0,0,0,0,0,473,476,491,0,0,0,0,53,486,522,82,297,786
"185","185",1624,850,774,0,0,1,0,0,0,0,0,0,0,0,490,434,383,317,19,888,610,78,29,1282
"186","186",665,354,311,0,0,0,0,0,0,0,0,0,0,0,0,197,276,192,4,557,79,22,3,552
"187","187",5055,2546,2509,1,1,0,574,603,587,609,598,568,533,436,0,0,0,0,41,4348,553,86,27,3985
"188","188",381,188,193,0,1,0,0,0,0,0,0,118,131,132,0,0,0,0,1,266,104,7,3,355
"189","189",1776,847,929,0,1,1,0,0,0,0,349,446,434,396,70,47,24,10,15,1221,423,101,16,1518
"190","190",4262,2069,2193,1,1,0,569,561,577,552,442,426,334,238,0,0,0,0,45,929,3211,27,50,3631
"191","191",1153,522,631,0,0,1,0,0,0,0,0,0,0,0,66,670,203,214,1,337,793,1,21,881
"192","192",2180,800,1380,0,0,1,0,0,0,0,0,0,0,0,683,603,476,418,32,720,1354,27,47,1526
"193","193",2023,608,1414,0,0,1,0,0,0,0,0,0,0,0,627,569,428,399,518,841,389,144,131,1428
"194","194",1857,891,966,0,0,1,0,0,0,0,0,0,0,0,488,468,447,454,191,1364,173,101,28,1348
"195","195",3532,1899,1633,1,1,0,548,586,608,493,353,243,112,0,0,0,0,0,13,3213,213,69,24,2404
"196","196",1217,558,659,0,1,1,0,0,0,0,0,293,340,292,197,95,0,0,5,895,286,28,3,851
"197","197",144,69,75,1,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,29,111,2,2,123
"198","198",2694,540,2154,0,0,1,0,0,0,0,0,0,0,0,805,758,583,548,17,779,1845,6,47,2353
"199","199",1068,555,513,0,0,1,0,0,0,0,0,0,0,0,112,328,324,304,36,419,566,11,36,874
"200","200",1048,548,500,1,0,0,185,153,183,148,119,0,0,0,0,0,0,0,17,89,701,38,203,668
"201","201",2031,920,1111,0,1,0,0,0,0,0,0,537,665,829,0,0,0,0,198,1405,274,121,33,1626
"202","202",2142,1374,768,0,0,1,0,0,0,0,0,0,0,0,697,555,465,425,39,539,1454,86,24,1844
"203","203",2176,1050,1126,1,1,0,450,438,353,255,171,89,0,0,0,0,0,0,21,1918,147,73,17,1708
"204","204",2476,1610,866,0,0,1,0,0,0,0,0,0,0,0,673,663,588,552,348,627,1321,51,129,2059
"205","205",974,485,489,1,0,0,134,144,155,138,135,0,0,0,0,0,0,0,101,162,332,112,267,382
"206","206",2130,1083,1047,1,1,0,222,235,243,265,277,238,184,130,0,0,0,0,128,646,802,156,398,940
"207","207",2031,1122,909,0,1,0,0,0,0,0,534,513,509,475,0,0,0,0,365,223,1365,6,72,1739
"208","208",3645,1991,1654,1,1,0,458,439,414,406,409,415,342,267,0,0,0,0,40,2935,545,63,62,2979
"209","209",4472,2311,2161,0,1,1,0,0,0,0,0,675,598,516,741,676,643,623,359,1945,1542,92,534,3295
"210","210",1620,928,692,0,0,1,0,0,0,0,0,0,0,0,597,485,344,194,4,313,1167,131,5,1286
"211","211",2202,679,1522,0,0,1,0,0,0,0,0,0,0,0,744,571,473,414,259,498,1309,50,86,1890
"212","212",2472,1277,1195,1,1,0,361,364,363,371,291,212,138,63,0,0,0,0,34,1079,1272,51,36,2041
